name,personality,total votes,first letter votes percentage,second letter votes percentage,third letter votes percentage,fourth letter votes percentage,first function,second function,third function,fourth function,Instinctual_Variant_type,Tritype_type,Socionics_type,Big5_type,Attitudinal_Psyche_type,Temperaments_type,fourletters_type_votes,Instinctual_Variant_total_votes,Tritype_total_votes,Socionics_total_votes,Big5_total_votes,Attitudinal_Psyche_total_votes,Temperaments_total_votes,Instinctual_Variant_type_votes,Tritype_type_votes,Socionics_type_votes,Big5_type_votes,Attitudinal_Psyche_type_votes,Temperaments_type_votes
"Cho Miyeon, (G)I-DLE",esfj,248,67%,71%,98%,69%,Fe,Si,Ne,Ti,so/sp,972,ESE,SLUAN,VEFL,Sanguine-Phlegmatic,107,25,21,12,8,6,30,20,10,5,4,3,19
Viih Tube,esfj,179,88%,84%,88%,94%,Fe,Si,Ne,Ti,so/sp,629,ESE,SLOAN,FEVL,Phlegmatic-Sanguine,138,32,40,15,25,5,28,18,24,11,12,3,19
Andrés Manuel López Obrador,esfj,251,98%,50%,98%,96%,Fe,Si,Ne,Ti,so/sp,317,EIE,SCOAN,EVFL,Sanguine [Dominant],121,24,14,12,9,3,28,14,6,4,3,2,17
Hailey Bieber,esfj,231,72%,88%,92%,86%,Fe,Si,Ne,Ti,so/sx,926,ESE,SLOAN,FEVL,Phlegmatic-Sanguine,139,23,19,21,9,5,16,16,13,8,4,4,13
Emma Roberts,esfj,223,96%,88%,57%,96%,Fe,Si,Ne,Ti,sx/so,387,ESE,SCOAN,VEFL,Choleric [Dominant],117,22,28,12,9,5,29,19,14,6,6,3,18
Ryan Bergara,esfj,205,96%,78%,98%,82%,Fe,Si,Ne,Ti,sp/so,692,SEI,SLOAI,EFLV,Sanguine-Choleric,153,21,16,6,10,3,22,17,14,6,8,2,11
Naiara Azevedo,esfj,162,100%,98%,63%,96%,Fe,Si,Ne,Ti,so/sx,268,ESE,SLOAN,EVFL,Sanguine-Choleric,93,31,36,12,21,7,36,18,10,11,15,5,12
Juan Sebastián Guarnizo (JuanSGuarnizo),esfj,235,95%,59%,68%,55%,Fe,Si,Ne,Ti,sp/so,738,ESE,SCOAI,EFVL,Sanguine-Phlegmatic,117,19,15,7,15,5,24,9,4,5,9,3,10
Triz Pariz,esfj,192,64%,72%,98%,96%,Fe,Si,Ne,Ti,so/sp,972,SEI,RCUAN,EFVL,Phlegmatic-Sanguine,75,24,27,12,13,7,30,14,13,10,8,5,26
Terry Crews,esfj,200,98%,87%,95%,90%,Fe,Si,Ne,Ti,so/sx,296,ESE,SCOAN,EFVL,Sanguine [Dominant],159,17,14,13,4,2,22,14,10,10,3,1,20
Beatrice Chestnut,esfj,121,97%,56%,94%,61%,Fe,Si,Ne,Ti,sp/so,296,ESE,SCOAI,FELV,Sanguine-Phlegmatic,59,45,29,21,8,7,9,34,9,12,7,4,5
Jennifer Lopez,esfj,196,96%,97%,73%,90%,Fe,Si,Ne,Ti,sx/sp,317,ESE,SLOEN,FVEL,Phlegmatic-Choleric,122,15,16,16,4,5,14,11,7,7,4,2,9
Kim Sejeong (Gugudan),esfj,250,99%,48%,53%,52%,Fe,Si,Ne,Ti,so/sp,261,ESE,SLOAN,VELF,Sanguine-Phlegmatic,116,10,9,5,7,2,10,8,6,4,3,2,10
JiU (DREAMCATCHER),esfj,189,98%,84%,99%,89%,Fe,Si,Ne,Ti,so/sx,269,ESE,SCOAI,EFLV,Sanguine-Phlegmatic,152,19,14,12,6,6,25,16,12,12,5,3,22
Gwyneth Paltrow,esfj,192,42%,86%,96%,81%,Fe,Fe,Ti,Ti,so/sx,387,SEI,SCOAN,FEVL,Sanguine-Choleric,71,20,19,15,6,5,15,8,8,8,3,3,7
Sofía Vergara,esfj,184,98%,82%,85%,66%,Fe,Si,Ne,Ti,sx/so,269,ESE,SCOAN,EVFL,Sanguine [Dominant],85,17,12,10,4,3,18,13,6,7,2,2,17
Jack Edwards (Jack Ben Edwards),esfj,206,99%,52%,95%,53%,Fe,Si,Ne,Ti,sp/so,359,EIE,SCOAI,VELF,Sanguine-Melancholic,97,8,17,10,7,2,10,4,5,5,5,1,6
Gabriel Monteiro,esfj,129,97%,94%,96%,91%,Fe,Si,Ne,Ti,so/sp,126,ESI,SCOAN,VEFL,Phlegmatic-Choleric,104,21,24,17,12,7,21,14,13,13,7,6,15
Madelaine Petsch,esfj,180,88%,54%,91%,52%,Fe,Si,Ne,Ti,so/sp,297,ESE,SCOAN,FELV,Sanguine [Dominant],76,11,15,7,4,3,13,6,9,4,3,3,9
Simone Biles,esfj,149,84%,97%,96%,74%,Fe,Si,Ne,Ti,sp/so,316,ESE,RCOAN,XXXX,Sanguine-Melancholic,89,19,15,5,7,0,14,19,13,5,5,0,9
Ycro,esfj,143,62%,94%,92%,72%,Fe,Si,Ne,Ti,sx/sp,972,SEI,SLUAN,EFLV,Phlegmatic-Sanguine,75,18,16,5,9,4,22,12,13,3,5,2,20
Kiara Takanashi,esfj,99,97%,95%,98%,84%,Fe,Si,Ne,Ti,sx/so,729,ESE,SLUAN,EFVL,Sanguine [Dominant],80,22,28,24,13,6,22,12,10,19,9,5,20
Kwon Eunbi,esfj,162,77%,91%,67%,91%,Fe,Si,Ne,Ti,so/sp,216,IEE,SLOAN,FEVL,Choleric-Sanguine,59,17,14,6,11,3,12,16,12,3,9,3,7
Wendy Williams,esfj,127,98%,94%,92%,69%,Fe,Si,Ne,Ti,so/sp,368,SEE,SLOEN,FEVL,Choleric-Sanguine,78,20,18,11,6,2,8,17,9,7,6,2,8
Steve Harvey,esfj,155,97%,83%,88%,66%,Fe,Si,Ne,Ti,so/sp,371,ESE,SCOAN,XXXX,Sanguine [Dominant],80,11,11,12,3,0,6,10,8,10,2,0,4
Ned Fulmer,esfj,136,96%,96%,82%,84%,Fe,Si,Ne,Ti,so/sx,368,ESE,SLOEN,VLFE,Sanguine [Dominant],103,14,17,3,5,3,10,12,10,3,3,2,6
Huening Bahiyyih (Kep1er),esfj,145,96%,74%,91%,76%,Fe,Si,Ne,Ti,so/sx,721,IEE,SCOAN,EFVL,Sanguine-Phlegmatic,98,10,10,8,5,1,19,8,6,5,3,1,12
"Patton ""Morality"" Sanders (Sanders Sides)",esfj,112,66%,63%,100%,61%,Fe,Si,Ne,Ti,so/sx,217,IEI,SCUAN,EFLV,Sanguine-Phlegmatic,67,15,15,6,8,6,15,13,10,4,5,3,10
Aitana,esfj,75,100%,99%,100%,95%,Fe,Si,Ne,Ti,so/sp,279,ESE,SLOAN,FELV,Sanguine-Phlegmatic,71,19,26,18,23,11,24,9,23,18,22,11,23
Kyujin (NMIXX),esfj,82,91%,85%,88%,80%,Fe,Si,Ne,Ti,so/sp,361,SEI,SLUAN,VEFL,Phlegmatic-Sanguine,53,21,25,21,13,11,25,9,14,10,8,8,11
Tyra Banks,esfj,124,96%,87%,82%,94%,Fe,Si,Ne,Ti,so/sp,683,EIE,SLOEN,VLFE,Choleric-Sanguine,90,14,11,14,6,2,9,6,6,8,6,2,8
Dhar Mann,esfj,132,95%,77%,95%,95%,Fe,Si,Ne,Ti,so/sp,361,ESE,SCOAN,VEFL,Sanguine-Phlegmatic,94,11,12,6,7,4,6,8,6,6,6,3,4
Guilherme Briggs,esfj,136,51%,35%,99%,81%,Fe,Si,Ne,Ti,so/sx,397,SEI,RCUAI,EFLV,Phlegmatic-Sanguine,44,8,10,4,9,5,14,4,4,3,6,3,11
Shotaro (NCT),esfj,127,46%,94%,95%,81%,Fe,Si,Ne,Ti,so/sp,974,ESE,RCOAI,FEVL,Phlegmatic [Dominant],53,14,13,3,5,1,13,9,6,2,5,1,9
Vin Diesel,esfj,140,77%,94%,89%,89%,Fe,Si,Ne,Ti,sx/so,371,ESE,SCOAN,EVLF,Phlegmatic-Sanguine,87,12,7,6,2,2,5,7,4,3,2,2,4
Tiago Abravanel,esfj,91,98%,79%,100%,88%,Fe,Si,Ne,Ti,so/sx,962,EII,SCOAN,FELV,Phlegmatic-Sanguine,70,13,16,12,7,1,20,10,9,7,6,1,15
Andrzej Duda,esfj,119,92%,99%,85%,98%,Fe,Si,Ne,Ti,so/sp,261,ESE,SCOEN,ELVF,Sanguine-Phlegmatic,95,8,7,9,5,4,11,5,4,6,2,2,9
Whitney Houston,esfj,101,98%,91%,77%,95%,Fe,Si,Ne,Ti,sp/sx,379,ESE,SLUEN,LFEV,Choleric-Sanguine,69,17,10,9,3,2,10,10,5,5,2,2,3
Yoo Kihyun (Monsta X),esfj,109,83%,90%,64%,90%,Fe,Si,Ne,Ti,so/sp,261,ESI,SLOAN,FVEL,Sanguine-Phlegmatic,45,12,10,6,5,1,10,9,5,3,2,1,6
Larissa Manoela,esfj,82,94%,93%,88%,93%,Fe,Si,Ne,Ti,so/sx,397,ESE,SCOAN,VEFL,Sanguine [Dominant],64,18,10,6,8,5,13,9,10,6,5,4,10
Luis Arturo Villar (Luisito Comunica),esfj,110,98%,65%,98%,83%,Fe,Si,Ne,Ti,so/sx,729,ESE,SCUAI,XXXX,Sanguine [Dominant],63,7,9,6,5,0,12,6,5,5,4,0,10
Meghan Trainor,esfj,116,97%,91%,98%,63%,Fe,Si,Ne,Ti,so/sp,216,SEE,SCOAN,FELV,Sanguine [Dominant],67,7,7,4,2,2,6,3,4,4,2,2,3
Loren Gray,esfj,114,68%,81%,90%,65%,Fe,Si,Ne,Ti,so/sp,317,ESI,RCOAN,XXXX,Sanguine-Phlegmatic,42,8,13,3,3,0,5,4,8,2,3,0,5
Dave Rubin,esfj,115,97%,57%,93%,91%,Fe,Si,Ne,Ti,so/sx,396,ESE,SCOAN,XXXX,Sanguine [Dominant],64,10,10,7,1,0,4,8,6,6,1,0,4
Luara Fonseca,esfj,79,94%,57%,84%,71%,Fe,Si,Ne,Ti,sx/so,379,ESE,SLOEI,VLEF,Phlegmatic-Choleric,33,11,17,14,2,11,19,11,11,8,1,5,8
Joseph Haydn,esfj,102,75%,51%,62%,54%,Fe,Si,Ne,Ti,so/sx,279,ESE,SCOAI,FEVL,Sanguine [Dominant],50,7,8,5,5,1,7,3,4,4,5,1,4
Stephanie Soo,esfj,92,96%,79%,100%,76%,Fe,Si,Ne,Ti,sp/so,692,ESE,SLUAI,XXXX,Sanguine [Dominant],68,13,10,8,5,0,10,11,7,8,5,0,6
Simon Minter (Miniminter),esfj,114,67%,78%,62%,64%,Fe,Si,Ne,Ti,so/sp,962,SEI,RLUEN,FEVL,Sanguine-Melancholic,49,5,7,1,7,1,8,3,3,1,2,1,5
Damares Alves,esfj,79,96%,94%,99%,94%,Fe,Si,Ne,Ti,so/sp,261,SEE,SLOAN,VELF,Choleric [Dominant],68,7,10,8,8,1,11,6,5,6,3,1,8
Jules Leblanc,esfj,107,73%,72%,91%,67%,Fe,Si,Ne,Ti,so/sp,639,ESE,RCOAI,FEVL,Melancholic-Phlegmatic,45,7,6,5,6,2,6,5,4,3,5,2,4
Daisy Ridley,esfj,116,93%,89%,62%,92%,Fe,Si,Ne,Ti,sx/so,712,ESE,SCOAN,EFVL,Sanguine [Dominant],63,6,5,4,1,1,7,4,3,4,1,1,6
Sunny (SNSD),esfj,109,50%,87%,61%,96%,Si,Si,Ne,Ne,so/sp,692,ESE,SLOAN,XXXX,Sanguine [Dominant],41,7,7,4,3,0,4,6,3,3,3,0,4
Marília Mendonça,esfj,60,98%,92%,93%,97%,Fe,Si,Ne,Ti,so/sx,269,ESE,SLOAN,EFLV,Melancholic-Sanguine,52,12,15,9,9,5,17,9,7,8,8,3,13
Mari Gonzalez,esfj,69,72%,99%,100%,88%,Fe,Si,Ne,Ti,sp/so,297,SEI,SCOAN,FELV,Phlegmatic-Sanguine,45,10,19,3,7,1,14,7,9,2,7,1,11
Lee Daehwi (AB6IX),esfj,99,98%,64%,79%,59%,Fe,Si,Ne,Ti,so/sp,371,SLE,SCUEN,EFVL,Sanguine-Choleric,38,6,10,2,3,3,11,5,9,2,3,2,11
Dasha Taran,esfj,101,56%,43%,80%,37%,Fi,Si,Ne,Te,sp/so,973,SEI,SCOAN,EFVL,Phlegmatic-Sanguine,32,9,6,6,2,3,13,7,2,4,2,1,10
Vladimir Putin,istp,2489,97%,65%,98%,52%,Ti,Se,Ni,Fe,sp/so,683,LSI,RCOEN,VFLE,Phlegmatic-Choleric,1227,249,211,185,111,81,234,103,108,161,65,38,121
Eminem,istp,1586,96%,89%,78%,95%,Ti,Se,Ni,Fe,sx/sp,648,ESI,RLUEI,VLEF,Choleric-Melancholic,1119,242,157,99,104,52,170,144,107,58,59,25,87
Kendall Jenner,istp,1948,93%,98%,78%,55%,Si,Se,Ni,Ne,sp/so,649,SLI,RCOEN,FLEV,Phlegmatic [Dominant],707,115,111,71,48,22,114,65,40,30,22,9,47
Shin Ryujin (ITZY),istp,1022,73%,81%,98%,82%,Ti,Se,Ni,Fe,sp/sx,853,SLI,RCUEI,VLFE,Phlegmatic-Choleric,558,98,84,40,36,19,83,78,37,19,15,12,57
Diogenes,istp,701,91%,90%,99%,98%,Ti,Se,Ni,Fe,sp/sx,854,SLI,RCUEI,FLVE,Melancholic [Dominant],601,149,122,93,58,46,75,118,59,50,48,10,34
Taehyun (TXT),istp,793,78%,95%,98%,92%,Ti,Se,Ni,Fe,sp/so,531,LSE,SCOAI,LVFE,Choleric-Phlegmatic,552,133,141,23,61,21,101,86,59,11,32,16,38
Winter (aespa),istp,813,82%,53%,96%,97%,Ti,Se,Ni,Fe,sp/so,954,SLI,RCUAI,LFEV,Phlegmatic-Sanguine,385,77,72,26,39,19,82,60,28,15,21,13,37
Megan Fox,istp,684,72%,96%,89%,97%,Ti,Se,Ni,Fe,sx/sp,973,SLI,RCUEI,FLEV,Phlegmatic-Choleric,407,99,65,61,37,14,60,64,37,28,22,7,42
Kristen Stewart,istp,789,98%,69%,92%,96%,Ti,Se,Ni,Fe,sp/sx,649,SLI,RCUEI,FLVE,Phlegmatic-Melancholic,480,77,49,61,24,11,61,57,35,35,9,6,38
Olivia Hye (LOONA),istp,563,99%,94%,96%,99%,Ti,Se,Ni,Fe,sp/sx,964,SLI,RCUEN,FLVE,Phlegmatic-Choleric,525,102,94,45,38,15,79,91,34,41,36,10,50
Pedro Henrique (Orochinho),istp,524,88%,77%,99%,99%,Ti,Se,Ni,Fe,sp/sx,974,SLI,RCUEN,FLEV,Phlegmatic-Choleric,392,89,76,50,43,27,132,72,42,42,29,15,63
Magnus Carlsen,istp,632,98%,80%,99%,85%,Ti,Se,Ni,Fe,sx/sp,538,ILI,RCUEI,LVFE,Choleric [Dominant],483,53,60,64,27,19,48,24,25,36,19,17,20
George Davidson (GeorgeNotFound),istp,577,94%,88%,89%,94%,Ti,Se,Ni,Fe,sp/so,694,SLI,RCUEN,FLEV,Phlegmatic-Sanguine,436,96,74,25,45,31,62,78,45,15,14,11,52
Bruce Lee,istp,590,86%,87%,92%,93%,Ti,Se,Ni,Fe,sp/sx,853,LSI,RCOAI,VFLE,Choleric-Phlegmatic,471,72,68,49,23,14,44,48,38,28,16,8,32
Tom Cruise,istp,635,51%,88%,88%,83%,Ti,Se,Ni,Fe,so/sx,386,LSE,RLOEN,VFLE,Choleric [Dominant],278,56,45,43,28,11,43,39,29,18,11,7,26
Jaehyun (NCT),istp,593,50%,75%,63%,68%,Ti,Se,Ni,Fe,so/sp,937,SEI,RCUAN,FLVE,Phlegmatic [Dominant],223,57,47,30,29,15,77,32,30,18,19,9,69
Clint Eastwood,istp,491,98%,98%,93%,92%,Ti,Se,Ni,Fe,sp/sx,854,SLI,RCOEN,VFLE,Phlegmatic-Choleric,440,47,54,45,21,7,39,40,25,34,14,5,29
Snoop Dogg,istp,444,81%,95%,79%,95%,Ti,Se,Ni,Fe,sp/sx,972,SLI,RCUAN,FLEV,Sanguine-Phlegmatic,323,68,44,63,30,20,47,42,32,29,17,12,26
Scarlett Johansson,istp,489,82%,94%,91%,93%,Ti,Se,Ni,Fe,sp/sx,953,SLI,RCUEN,VFLE,Phlegmatic-Sanguine,363,52,52,44,21,8,35,20,31,18,14,8,24
Kobe B. Bryant,istp,452,89%,88%,88%,80%,Ti,Se,Ni,Fe,sp/sx,358,LSI,RCOEI,VLFE,Choleric [Dominant],300,61,58,39,23,16,39,32,30,24,20,11,21
Christian “Jerma” Bale,istp,427,94%,81%,96%,85%,Ti,Se,Ni,Fe,sx/sp,854,LSI,RLOEI,VFLE,Choleric-Melancholic,320,60,53,55,27,17,40,30,17,30,14,6,22
Michael J. Jordan,istp,394,89%,97%,97%,95%,Ti,Se,Ni,Fe,sp/sx,386,SLE,RCOEN,VFLE,Choleric-Phlegmatic,337,57,49,33,24,12,34,34,28,27,13,6,25
Raúl Álvarez (Auronplay),istp,378,77%,93%,98%,98%,Ti,Se,Ni,Fe,sp/sx,964,SLI,RLUAN,FLEV,Choleric-Sanguine,281,62,48,13,20,9,40,46,22,7,8,6,21
Tom Hardy,istp,435,93%,77%,60%,98%,Ti,Se,Ni,Fe,sx/so,684,SLI,RCUAI,FELV,Phlegmatic-Choleric,230,41,49,20,10,2,22,26,20,9,4,1,18
HyunJin (LOONA),istp,393,78%,94%,93%,92%,Ti,Se,Ni,Fe,sp/sx,794,ILE,RCUEI,FVLE,Phlegmatic-Sanguine,269,56,43,17,24,7,42,49,20,14,11,5,29
Dixie D'Amelio,istp,531,47%,96%,56%,96%,Se,Se,Ni,Ni,sp/so,973,SEI,SLUEN,ELFV,Choleric-Phlegmatic,205,18,23,21,14,9,26,8,13,10,7,3,11
Artemis,istp,336,97%,84%,81%,83%,Ti,Se,Ni,Fe,sp/so,854,ESI,RCUEN,VFLE,Melancholic-Choleric,246,43,38,20,13,13,35,27,16,7,6,8,23
Johnny Cash,istp,278,96%,93%,63%,99%,Ti,Se,Ni,Fe,sx/sp,845,SLI,RLUEI,EFVL,Melancholic [Dominant],160,47,47,20,15,9,30,31,19,14,8,5,22
Saiko Mene,istp,243,93%,89%,99%,98%,Ti,Se,Ni,Fe,sp/sx,974,SLI,RCUEN,LFVE,Melancholic-Choleric,210,40,59,20,22,12,60,37,33,9,14,6,28
Harrison Ford,istp,326,91%,90%,98%,87%,Ti,Se,Ni,Fe,sp/sx,963,SLI,RCUEN,FVLE,Phlegmatic-Choleric,270,34,25,32,13,12,24,31,17,26,7,7,21
Kourtney Kardashian,istp,345,93%,95%,84%,88%,Ti,Se,Ni,Fe,sp/so,683,LSI,RCUEN,LFEV,Choleric-Phlegmatic,237,36,29,21,10,2,28,25,18,13,9,2,15
39daph,istp,295,90%,84%,94%,91%,Ti,Se,Ni,Fe,sp/sx,963,SEI,RCUEN,FLVE,Phlegmatic-Sanguine,226,40,31,32,13,8,37,30,17,15,12,7,21
Musashi Miyamoto,istp,196,100%,97%,97%,99%,Ti,Se,Ni,Fe,sp/sx,584,LSI,RCOEI,VFLE,Phlegmatic-Sanguine,188,43,71,36,23,10,26,29,24,29,21,5,10
Jeno (NCT),istp,327,100%,99%,80%,98%,Ti,Se,Ni,Fe,sp/so,935,SLI,RCUAN,FLEV,Phlegmatic-Sanguine,259,38,16,14,9,7,25,37,9,13,6,6,24
James Hetfield,istp,309,96%,60%,88%,60%,Ti,Se,Ni,Fe,sp/sx,684,SLI,RLOEN,FLEV,Choleric-Melancholic,149,31,33,24,10,6,32,25,23,16,5,3,26
Seo Soojin,istp,281,95%,97%,65%,95%,Ti,Se,Ni,Fe,sp/sx,936,SEI,RCUAN,VEFL,Phlegmatic [Dominant],173,34,30,25,25,10,36,19,13,12,11,9,19
Khabib Nurmagomedov,istp,260,96%,98%,94%,72%,Ti,Se,Ni,Fe,sp/sx,863,LSI,RCOAN,FVLE,Phlegmatic-Choleric,171,30,32,38,16,10,23,21,15,24,9,9,15
Davie504,istp,290,99%,69%,83%,98%,Ti,Se,Ni,Fe,sp/sx,974,SLI,RCUAI,FVLE,Phlegmatic-Melancholic,161,29,21,28,15,4,30,25,13,23,10,2,18
Melania Trump,istp,277,96%,96%,62%,76%,Ti,Se,Ni,Fe,sp/so,639,IEI,RCUEN,FVEL,Phlegmatic [Dominant],151,39,20,31,4,5,20,18,16,11,4,2,15
Lee Sang-hyeok (Faker),istp,299,100%,49%,97%,96%,Ti,Se,Ni,Fe,sp/so,593,SLI,RCOEI,LVFE,Phlegmatic [Dominant],144,27,23,11,8,4,22,15,15,7,5,2,17
Richarlison,istp,226,64%,96%,66%,99%,Ti,Se,Ni,Fe,so/sx,974,SEI,SCUAN,FVLE,Phlegmatic-Sanguine,122,32,24,25,17,13,35,20,15,11,9,10,15
Jeff The Killer,istp,232,79%,93%,82%,97%,Ti,Se,Ni,Fe,sx/sp,874,SLE,RLUEN,VFEL,Melancholic-Choleric,137,33,25,7,13,7,38,21,13,5,12,4,19
Erling Haaland,istp,213,89%,94%,97%,96%,Ti,Se,Ni,Fe,sp/so,973,SLI,RCOAN,FLVE,Phlegmatic-Choleric,177,28,25,27,9,8,30,17,12,15,8,4,15
Juyeon (The Boyz),istp,244,94%,66%,71%,73%,Ti,Se,Ni,Fe,sp/so,952,SLI,RCUAI,FLEV,Phlegmatic [Dominant],157,32,25,8,13,6,27,28,18,7,9,4,21
Bear Grylls,istp,237,93%,99%,99%,96%,Ti,Se,Ni,Fe,sx/sp,713,LSE,RCUAN,FVLE,Sanguine [Dominant],217,27,18,18,10,7,19,20,9,14,6,7,12
Lee Gahyeon (DREAMCATCHER),istp,286,98%,99%,40%,69%,Ti,Se,Ni,Fe,sx/so,972,EIE,RCUAN,VELF,Choleric-Phlegmatic,106,17,11,6,11,4,20,11,10,4,5,3,10
Ernest Khalimov,istp,186,88%,94%,94%,96%,Ti,Se,Ni,Fe,sx/so,937,SLI,RCUAN,FVEL,Phlegmatic [Dominant],147,27,24,23,19,15,26,16,15,18,12,8,21
Kim Garam (김가람),istp,193,71%,95%,58%,83%,Ti,Se,Ni,Fe,sx/so,873,ESI,RCOAI,VFLE,Phlegmatic-Sanguine,64,24,29,10,11,9,21,10,8,6,8,4,8
David Goggins,istp,194,72%,76%,71%,57%,Ti,Se,Ni,Fe,sx/sp,638,SLE,RLOEN,VFLE,Choleric-Melancholic,74,26,20,21,13,7,16,18,8,6,5,5,13
Wang Yibo,istp,191,99%,93%,99%,97%,Ti,Se,Ni,Fe,sx/sp,935,SLI,RCOAI,FVLE,Choleric [Dominant],172,23,19,14,7,5,22,15,11,10,5,3,13
Sasha Grey,istp,195,47%,79%,91%,81%,Ti,Se,Ni,Fe,sp/sx,874,SLE,RCUEN,VFLE,Sanguine-Choleric,79,25,20,24,7,6,14,11,9,11,3,6,8
Ashton Kutcher,istp,251,49%,64%,79%,96%,Ti,Se,Ni,Fe,so/sx,793,ILE,SCUAN,EFLV,Sanguine-Melancholic,115,7,6,11,1,1,5,3,5,6,1,1,5
Kate Moss,istp,126,98%,95%,90%,97%,Ti,Se,Ni,Fe,sx/sp,387,SLI,RCUEN,LFVE,Melancholic-Choleric,105,21,32,17,12,5,24,13,11,9,7,4,11
Max Verstappen,istp,157,87%,93%,98%,89%,Ti,Se,Ni,Fe,sp/so,853,SLE,RLUEN,LVFE,Choleric-Sanguine,122,22,20,14,10,3,24,14,9,12,5,2,13
Bill Skarsgård,istp,201,98%,63%,96%,94%,Ti,Se,Ni,Fe,sp/sx,539,SLI,RCUEI,VLFE,Phlegmatic [Dominant],126,14,12,10,6,1,13,12,6,6,3,1,11
Narendra Modi (नरेंद्र मोदी),istp,178,63%,52%,69%,34%,Ti,Se,Ni,Fe,sp/so,136,EIE,SCOAN,VELF,Choleric [Dominant],53,18,14,18,8,4,17,13,6,10,6,4,5
Ricardo Alcaraz,istp,181,85%,71%,99%,98%,Ti,Se,Ni,Fe,sp/so,954,SLI,RCUEI,LFEV,Phlegmatic-Melancholic,118,14,9,7,10,7,20,8,7,6,4,4,13
Sky Ferreira,istp,121,98%,93%,69%,100%,Ti,Se,Ni,Fe,sx/sp,946,SLI,RLUAN,ELVF,Melancholic-Choleric,79,23,25,14,10,7,17,12,15,9,5,3,7
Mikhaila Peterson,istp,146,54%,83%,96%,92%,Ti,Se,Ni,Fe,sx/sp,954,LSI,RLOAI,FLVE,Phlegmatic-Choleric,62,19,20,14,17,7,21,12,8,6,6,3,11
Miles Davis,istp,125,100%,98%,86%,99%,Ti,Se,Ni,Fe,sp/sx,584,SLI,RCUEI,VFLE,Choleric-Melancholic,105,25,18,14,12,6,15,14,5,10,9,5,7
Iggy Azalea,istp,155,60%,88%,70%,95%,Ti,Se,Ni,Fe,sp/sx,379,SEE,SLUEN,LFVE,Phlegmatic-Choleric,70,26,11,14,5,1,9,15,5,7,4,1,9
Nick Jonas,istp,192,97%,91%,48%,49%,Ti,Fe,Ti,Fe,so/sx,945,SEI,RLUAN,FLEV,Melancholic-Phlegmatic,82,11,12,5,4,2,8,4,4,3,3,1,7
Sylvester Stallone,istp,165,79%,96%,55%,98%,Ti,Se,Ni,Fe,sp/sx,386,SLI,RLUAN,VFLE,Phlegmatic-Choleric,76,10,8,16,4,3,11,6,3,7,3,2,7
Tabbes,istp,149,98%,98%,99%,99%,Ti,Se,Ni,Fe,sp/sx,954,SLI,RCUEN,FLEV,Phlegmatic [Dominant],144,16,9,9,7,5,16,14,6,8,5,3,10
Daniel Craig,istp,157,97%,99%,98%,93%,Ti,Se,Ni,Fe,sx/sp,684,LSI,RCUEN,VFLE,Phlegmatic-Choleric,146,14,15,8,9,6,8,9,7,7,7,5,5
Emily Blunt,istp,178,88%,84%,67%,76%,Ti,Se,Ni,Fe,sp/sx,937,LSI,RCOAN,XXXX,Phlegmatic-Sanguine,97,10,10,16,2,0,8,6,7,8,1,0,5
Robert Lewandowski,istp,134,97%,97%,91%,75%,Ti,Se,Ni,Fe,sp/sx,835,SLI,RCOAN,LFVE,Sanguine-Choleric,96,17,9,12,2,3,15,8,5,7,2,3,5
Christopher Langan,istp,115,96%,68%,99%,85%,Ti,Se,Ni,Fe,sp/sx,584,LSI,RCUEI,LFVE,Melancholic [Dominant],76,19,17,25,12,6,15,15,11,16,8,5,11
Zinedine Zidane,istp,189,99%,92%,58%,84%,Ti,Se,Ni,Fe,sp/sx,952,SLI,RCOAI,FLVE,Phlegmatic [Dominant],80,8,3,6,2,1,11,5,2,4,1,1,4
Tony Hawk,istp,128,80%,73%,76%,98%,Ti,Se,Ni,Fe,sp/so,793,SLI,SCUAI,FVLE,Phlegmatic [Dominant],84,15,20,12,4,1,13,8,11,9,2,1,13
Slash,istp,140,100%,100%,67%,99%,Ti,Se,Ni,Fe,sp/sx,954,SLI,RCUAN,LEFV,Melancholic-Sanguine,93,16,9,13,3,4,14,9,6,10,3,3,11
21 Savage,istp,111,95%,94%,94%,96%,Ti,Se,Ni,Fe,sp/sx,684,LSI,RCUEN,FLVE,Phlegmatic-Choleric,100,22,10,12,9,5,16,16,3,8,9,3,13
Chad Chad,istp,146,89%,66%,97%,99%,Ti,Se,Ni,Fe,sp/so,947,SLI,RCOEI,FELV,Phlegmatic-Melancholic,81,15,14,6,7,5,8,8,6,4,4,2,4
Drista,istp,132,77%,82%,98%,98%,Ti,Se,Ni,Fe,sp/sx,973,SLI,SCUEN,FELV,Phlegmatic [Dominant],98,16,14,10,5,3,10,15,12,7,5,3,5
Jensen Ackles,istp,155,81%,94%,83%,84%,Ti,Se,Ni,Fe,sx/sp,693,LIE,RCUAN,VFLE,Phlegmatic-Sanguine,116,14,12,7,4,1,11,8,8,3,4,1,7
Pitty,istp,138,60%,45%,44%,86%,Ti,Se,Ni,Fe,sx/sp,471,IEI,RCOAI,ELFV,Phlegmatic-Choleric,56,12,15,6,6,1,19,8,6,4,4,1,14
Hephaestus,istp,137,99%,90%,98%,97%,Ti,Se,Ni,Fe,sp/sx,594,SLI,RLUEI,FLVE,Melancholic-Phlegmatic,118,14,14,15,6,7,14,6,8,14,4,3,7
